data,link
08/10/2021,https://doe.to.gov.br/diario/4473/download
07/10/2021,https://doe.to.gov.br/diario/4472/download
06/10/2021,https://doe.to.gov.br/diario/4471/download
05/10/2021,https://doe.to.gov.br/diario/4470/download
04/10/2021,https://doe.to.gov.br/diario/4469/download
01/10/2021,https://doe.to.gov.br/diario/4468/download
30/09/2021,https://doe.to.gov.br/diario/4467/download
29/09/2021,https://doe.to.gov.br/diario/4466/download
28/09/2021,https://doe.to.gov.br/diario/4465/download
27/09/2021,https://doe.to.gov.br/diario/4464/download
24/09/2021,https://doe.to.gov.br/diario/4463/download
23/09/2021,https://doe.to.gov.br/diario/4462/download
22/09/2021,https://doe.to.gov.br/diario/4461/download
21/09/2021,https://doe.to.gov.br/diario/4460/download
20/09/2021,https://doe.to.gov.br/diario/4459/download
17/09/2021,https://doe.to.gov.br/diario/4458/download
16/09/2021,https://doe.to.gov.br/diario/4457/download
15/09/2021,https://doe.to.gov.br/diario/4456/download
14/09/2021,https://doe.to.gov.br/diario/4455/download
13/09/2021,https://doe.to.gov.br/diario/4454/download
13/09/2021,https://doe.to.gov.br/diario/4453/download
10/09/2021,https://doe.to.gov.br/diario/4452/download
09/09/2021,https://doe.to.gov.br/diario/4451/download
03/09/2021,https://doe.to.gov.br/diario/4450/download
02/09/2021,https://doe.to.gov.br/diario/4449/download
01/09/2021,https://doe.to.gov.br/diario/4448/download
31/08/2021,https://doe.to.gov.br/diario/4447/download
30/08/2021,https://doe.to.gov.br/diario/4446/download
27/08/2021,https://doe.to.gov.br/diario/4445/download
26/08/2021,https://doe.to.gov.br/diario/4444/download
25/08/2021,https://doe.to.gov.br/diario/4443/download
24/08/2021,https://doe.to.gov.br/diario/4442/download
23/08/2021,https://doe.to.gov.br/diario/4441/download
20/08/2021,https://doe.to.gov.br/diario/4440/download
19/08/2021,https://doe.to.gov.br/diario/4439/download
18/08/2021,https://doe.to.gov.br/diario/4438/download
17/08/2021,https://doe.to.gov.br/diario/4437/download
16/08/2021,https://doe.to.gov.br/diario/4436/download
13/08/2021,https://doe.to.gov.br/diario/4435/download
12/08/2021,https://doe.to.gov.br/diario/4434/download
11/08/2021,https://doe.to.gov.br/diario/4433/download
10/08/2021,https://doe.to.gov.br/diario/4432/download
09/08/2021,https://doe.to.gov.br/diario/4431/download
06/08/2021,https://doe.to.gov.br/diario/4429/download
06/08/2021,https://doe.to.gov.br/diario/4430/download
05/08/2021,https://doe.to.gov.br/diario/4428/download
04/08/2021,https://doe.to.gov.br/diario/4427/download
03/08/2021,https://doe.to.gov.br/diario/4426/download
02/08/2021,https://doe.to.gov.br/diario/4425/download
30/07/2021,https://doe.to.gov.br/diario/4424/download
29/07/2021,https://doe.to.gov.br/diario/4423/download
28/07/2021,https://doe.to.gov.br/diario/4422/download
27/07/2021,https://doe.to.gov.br/diario/4421/download
26/07/2021,https://doe.to.gov.br/diario/4420/download
23/07/2021,https://doe.to.gov.br/diario/4419/download
22/07/2021,https://doe.to.gov.br/diario/4418/download
21/07/2021,https://doe.to.gov.br/diario/4417/download
20/07/2021,https://doe.to.gov.br/diario/4416/download
19/07/2021,https://doe.to.gov.br/diario/4415/download
16/07/2021,https://doe.to.gov.br/diario/4414/download
15/07/2021,https://doe.to.gov.br/diario/4413/download
14/07/2021,https://doe.to.gov.br/diario/4412/download
13/07/2021,https://doe.to.gov.br/diario/4411/download
12/07/2021,https://doe.to.gov.br/diario/4410/download
09/07/2021,https://doe.to.gov.br/diario/4409/download
08/07/2021,https://doe.to.gov.br/diario/4408/download
07/07/2021,https://doe.to.gov.br/diario/4407/download
06/07/2021,https://doe.to.gov.br/diario/4406/download
05/07/2021,https://doe.to.gov.br/diario/4405/download
02/07/2021,https://doe.to.gov.br/diario/4404/download
01/07/2021,https://doe.to.gov.br/diario/4403/download
30/06/2021,https://doe.to.gov.br/diario/4402/download
29/06/2021,https://doe.to.gov.br/diario/4401/download
28/06/2021,https://doe.to.gov.br/diario/4400/download
25/06/2021,https://doe.to.gov.br/diario/4399/download
24/06/2021,https://doe.to.gov.br/diario/4398/download
23/06/2021,https://doe.to.gov.br/diario/4397/download
22/06/2021,https://doe.to.gov.br/diario/4396/download
21/06/2021,https://doe.to.gov.br/diario/4395/download
18/06/2021,https://doe.to.gov.br/diario/4394/download
17/06/2021,https://doe.to.gov.br/diario/4393/download
16/06/2021,https://doe.to.gov.br/diario/4392/download
15/06/2021,https://doe.to.gov.br/diario/4391/download
14/06/2021,https://doe.to.gov.br/diario/4390/download
11/06/2021,https://doe.to.gov.br/diario/4389/download
10/06/2021,https://doe.to.gov.br/diario/4388/download
09/06/2021,https://doe.to.gov.br/diario/4387/download
08/06/2021,https://doe.to.gov.br/diario/4386/download
07/06/2021,https://doe.to.gov.br/diario/4385/download
02/06/2021,https://doe.to.gov.br/diario/4384/download
01/06/2021,https://doe.to.gov.br/diario/4383/download
31/05/2021,https://doe.to.gov.br/diario/4382/download
28/05/2021,https://doe.to.gov.br/diario/4381/download
27/05/2021,https://doe.to.gov.br/diario/4380/download
26/05/2021,https://doe.to.gov.br/diario/4379/download
25/05/2021,https://doe.to.gov.br/diario/4378/download
24/05/2021,https://doe.to.gov.br/diario/4377/download
21/05/2021,https://doe.to.gov.br/diario/4376/download
19/05/2021,https://doe.to.gov.br/diario/4375/download
18/05/2021,https://doe.to.gov.br/diario/4374/download
